"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","5","","aurum.devs.helloworld.HelloWorldApplicationTests","","aurum.devs.helloworld.HelloWorldApplicationTests","","contextLoads",""
"passed","","","268","","aurum.devs.helloworld.HelloWorldApplicationTests","","aurum.devs.helloworld.HelloWorldApplicationTests","","secondTest",""
