"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","4","","aurum.devs.helloworld.HelloWorldApplicationTests","","aurum.devs.helloworld.HelloWorldApplicationTests","","contextLoads",""
"passed","","","339","","aurum.devs.helloworld.HelloWorldApplicationTests","","aurum.devs.helloworld.HelloWorldApplicationTests","","secondTest",""
